Reported Date,Deaths,Deaths_New_Methodology
2020-02-06,,
2020-02-07,,
2020-02-08,,
2020-02-09,,
2020-02-10,,
2020-02-11,,
2020-02-12,,
2020-02-13,,
2020-02-14,,
2020-02-15,,
2020-02-16,,
2020-02-17,,
2020-02-18,,
2020-02-19,,
2020-02-20,,
2020-02-21,,
2020-02-22,,
2020-02-23,,
2020-02-24,,
2020-02-25,,
2020-02-26,,
2020-02-27,,
2020-02-28,,
2020-02-29,,
2020-03-01,,
2020-03-02,,
2020-03-03,,
2020-03-04,,
2020-03-05,,
2020-03-06,,
2020-03-07,,
2020-03-08,,
2020-03-09,,
2020-03-10,,
2020-03-11,,
2020-03-12,,
2020-03-13,,
2020-03-14,,
2020-03-15,,
2020-03-16,,
2020-03-17,1,
2020-03-18,1,
2020-03-19,2,
2020-03-20,2,
2020-03-21,2,
2020-03-22,5,
2020-03-23,6,
2020-03-24,8,
2020-03-25,13,
2020-03-26,15,
2020-03-27,18,
2020-03-28,19,
2020-03-29,23,
2020-03-30,23,
2020-03-31,33,
2020-04-01,37,
2020-04-02,53,
2020-04-03,67,
2020-04-04,94,
2020-04-05,119,
2020-04-06,132,
2020-04-07,153,
2020-04-08,174,
2020-04-09,200,
2020-04-10,222,
2020-04-11,253,
2020-04-12,274,
2020-04-13,291,
2020-04-14,334,
2020-04-15,385,
2020-04-16,423,
2020-04-17,478,
2020-04-18,514,
2020-04-19,553,
2020-04-20,584,
2020-04-21,622,
2020-04-22,659,
2020-04-23,713,
2020-04-24,763,
2020-04-25,811,
2020-04-26,835,
2020-04-27,892,
2020-04-28,951,
2020-04-29,996,
2020-04-30,1082,
2020-05-01,1121,
2020-05-02,1176,
2020-05-03,1216,
2020-05-04,1300,
2020-05-05,1361,
2020-05-06,1429,
2020-05-07,1477,
2020-05-08,1540,
2020-05-09,1599,
2020-05-10,1634,
2020-05-11,1669,
2020-05-12,1725,
2020-05-13,1765,
2020-05-14,1798,
2020-05-15,1825,
2020-05-16,1858,
2020-05-17,1881,
2020-05-18,1904,
2020-05-19,1919,
2020-05-20,1962,
2020-05-21,1993,
2020-05-22,2021,
2020-05-23,2048,
2020-05-24,2073,
2020-05-25,2102,
2020-05-26,2123,
2020-05-27,2155,
2020-05-28,2189,
2020-05-29,2230,
2020-05-30,2247,
2020-05-31,2266,
2020-06-01,2276,
2020-06-02,2293,
2020-06-03,2312,
2020-06-04,2357,
2020-06-05,2372,
2020-06-06,2407,
2020-06-07,2426,
2020-06-08,2450,
2020-06-09,2464,
2020-06-10,2475,
2020-06-11,2487,
2020-06-12,2498,
2020-06-13,2507,
2020-06-14,2519,
2020-06-15,2527,
2020-06-16,2538,
2020-06-17,2550,
2020-06-18,2553,
2020-06-19,2564,
2020-06-20,2595,
2020-06-21,2606,
2020-06-22,2609,
2020-06-23,2619,
2020-06-24,2631,
2020-06-25,2641,
2020-06-26,2644,
2020-06-27,2652,
2020-06-28,2658,
2020-06-29,2665,
2020-06-30,2672,
2020-07-01,2676,
2020-07-02,2680,
2020-07-03,2682,
2020-07-04,2687,
2020-07-05,2689,
2020-07-06,2689,
2020-07-07,2691,
2020-07-08,2700,
2020-07-09,2703,
2020-07-10,2710,
2020-07-11,2716,
2020-07-12,2719,
2020-07-13,2722,
2020-07-14,2723,
2020-07-15,2732,
2020-07-16,2737,
2020-07-17,2746,
2020-07-18,2748,
2020-07-19,2751,
2020-07-20,2752,
2020-07-21,2753,
2020-07-22,2755,
2020-07-23,2755,
2020-07-24,2758,
2020-07-25,2759,
2020-07-26,2763,
2020-07-27,2764,
2020-07-28,2768,
2020-07-29,2769,
2020-07-30,2772,
2020-07-31,2775,
2020-08-01,2777,
2020-08-02,2778,
2020-08-03,2778,
2020-08-04,2782,
2020-08-05,2782,
2020-08-06,2783,
2020-08-07,2783,
2020-08-08,2784,
2020-08-09,2786,
2020-08-10,2786,
2020-08-11,2786,
2020-08-12,2787,
2020-08-13,2787,
2020-08-14,2788,
2020-08-15,2789,
2020-08-16,2789,
2020-08-17,2789,
2020-08-18,2793,
2020-08-19,2792,
2020-08-20,2793,
2020-08-21,2796,
2020-08-22,2797,
2020-08-23,2797,
2020-08-24,2798,
2020-08-25,2800,
2020-08-26,2802,
2020-08-27,2803,
